pts_reel,pts_unif,pts_maja,pts_king,pts_wu,aots
0.0842997765052201,0.0811,0.08495059,0.08619107,0.08581376,0.2039200667880997
0.08925916415906698,0.0716,0.07433355,0.075441584,0.07520794,0.2039200667880997
0.04382179109392117,0.0454,0.044476848,0.04481992,0.04497507,0.2039200667880997
0.02685799210679291,0.0253,0.024676466,0.02316736,0.023515128,0.2039200667880997
0.024304434039250894,0.0218,0.021387404,0.019662721,0.020036008,0.2039200667880997
0.016707183064817457,0.0172,0.017015591,0.015096845,0.015529266,0.2039200667880997
0.015555318064748004,0.0172,0.016925678,0.01496009,0.015427971,0.2039200667880997
0.02070744968310775,0.0208,0.018897587,0.017533178,0.017928632,0.2039200667880997
0.018682285976211778,0.0194,0.017608104,0.016048392,0.016536878,0.2039200667880997
0.01810904651094822,0.0179,0.016655404,0.014587069,0.015072898,0.2039200667880997
0.06823395559623346,0.0763,0.07441073,0.07256681,0.07272546,0.30799185885249214
0.0436557496371529,0.061,0.06093462,0.05453222,0.054712698,0.30799185885249214
0.03904406012638032,0.0573,0.057148527,0.049682025,0.049765136,0.30799185885249214
0.02979901474034526,0.0628,0.062698334,0.056377806,0.056379996,0.30799185885249214
0.041995176948650216,0.0673,0.06668075,0.061686072,0.06173755,0.30799185885249214
0.05359563537175946,0.0551,0.055041257,0.054858774,0.05502776,0.26726657559198547
0.049263377728745596,0.0497,0.048644982,0.048327226,0.048554633,0.26726657559198547
0.07226096005969827,0.0756,0.076446615,0.078241505,0.07789176,0.26726657559198547
0.08322589621386203,0.0856,0.085859865,0.08984069,0.08937561,0.26726657559198547
0.03421097283063191,0.0342,0.034002647,0.031469326,0.031927116,0.26726657559198547
0.027307885154546744,0.0374,0.037839755,0.036278263,0.03675335,0.26726657559198547
0.017270029671340555,0.0182,0.017740056,0.014495609,0.015404682,0.26726657559198547
0.023621477356191797,0.0269,0.026156232,0.023563813,0.024338685,0.26726657559198547
0.05231537736060928,0.0524,0.052011605,0.052190952,0.0523694,0.26726657559198547
0.05545552346893929,0.0651,0.06670506,0.067598894,0.06753518,0.26726657559198547
0.06564751624606499,0.0674,0.067591436,0.06950234,0.069405496,0.26726657559198547
0.041713142779800476,0.0518,0.052707978,0.05299801,0.053217664,0.26726657559198547
0.015031246900463835,0.0219,0.021470092,0.018647991,0.019477423,0.26726657559198547
0.0247297377291254,0.0249,0.02449245,0.021353943,0.02202445,0.26726657559198547
0.0008838494087986217,,0.18788841,0.19635177,0.19581413,0.0004944602041798136
0.0019260277306690815,,0.040461827,0.034663018,0.035224933,0.0004944602041798136
0.0020701999652684884,,0.06791204,0.060071457,0.06028652,0.0004944602041798136
0.032984771987858104,0.1348,0.13514204,0.13572963,0.13556176,0.10700371913165517
0.0017357016884370162,0.0035,0.00350475,0.002026866,0.0024232287,0.10307028576547525
0.009011695980424039,,0.032929793,0.032495085,0.032537065,0.004884431703942588
0.014210367882010948,,0.023382654,0.023291247,0.023310367,0.004884431703942588
0.02254367014652534,,0.048772205,0.048766285,0.048737552,0.004884431703942588
0.044145988728248854,0.0708,0.071368024,0.07099068,0.07110134,0.11949890494722987
0.042492713388746696,0.0792,0.079082035,0.07974494,0.07975893,0.11949890494722987
0.020732267822323316,0.0284,0.02816214,0.024710085,0.025730712,0.12809137361853482
0.013096522449001727,0.0156,0.015528967,0.012374412,0.013118685,0.12923381806961487
0.01592821313756508,0.0163,0.016311,0.013996476,0.014704773,0.12923381806961487
0.015385018851810582,0.0173,0.017469576,0.015430597,0.016177183,0.12923381806961487
0.019537294216007566,0.0215,0.019740865,0.018888162,0.0195331,0.12923381806961487
0.024307198011506194,0.0294,0.029016363,0.02586251,0.02640497,0.12923381806961487
0.07266653646949679,0.0761,0.077965125,0.080113046,0.079791665,0.22775944920554336
0.07070744707762212,0.0796,0.08313079,0.08500686,0.084597945,0.22775944920554336
0.054400654979434936,0.0583,0.058443014,0.059157804,0.05915376,0.22775944920554336
0.03618368414041428,0.0432,0.043265346,0.042619523,0.042805016,0.22775944920554336
0.018068004971611436,0.0404,0.03994905,0.039183486,0.03944889,0.22775944920554336
0.021918246641213748,0.0296,0.029520387,0.026780985,0.027324934,0.30766479158994176
0.02018652467556507,0.0306,0.030717758,0.027919473,0.028451169,0.30766479158994176
0.024659841055541552,0.0367,0.0369859,0.034692083,0.035143875,0.30766479158994176
0.02642927910761887,0.0433,0.042898104,0.041250546,0.041646153,0.30766479158994176
0.03682717717537214,0.0635,0.06384086,0.06414348,0.06427714,0.30766479158994176
0.04747692206082184,0.0763,0.0763311,0.07805773,0.078047596,0.30766479158994176
0.039795272098181705,0.0579,0.05819121,0.058136128,0.058396053,0.30766479158994176
0.02846620148012958,0.038,0.037799507,0.035665113,0.03620353,0.30766479158994176
0.05312362994536171,0.0328,0.032655768,0.0316346,0.031938374,0.04373113393784362
0.04401486058577263,0.0322,0.03216921,0.031062318,0.03137196,0.04373113393784362
0.04686447035358854,0.0328,0.032655768,0.0316346,0.031938374,0.04373113393784362
0.013959804708653685,0.0398,0.039237153,0.03200704,0.032800432,0.35199966871377353
0.018080592880884497,0.0442,0.044566743,0.038558137,0.039279625,0.35199966871377353
0.020833655732992118,0.0457,0.04572425,0.04045317,0.041254245,0.35199966871377353
0.021657885705540364,0.0469,0.045972556,0.041198824,0.042026103,0.35199966871377353
0.014050187248662162,0.0426,0.042030416,0.03587532,0.03667147,0.35199966871377353
0.06415574131791832,0.069,0.06943272,0.069984525,0.069842525,0.03831402682804635
0.006827140840124692,0.0092,0.009203268,0.0075360257,0.008119748,0.1097987946290822
0.005799779402735404,0.0093,0.0093182465,0.00769391,0.008272648,0.1097987946290822
0.007675108296651479,0.0091,0.009124185,0.0074618007,0.008046292,0.1097987946290822
0.00614806584223194,0.0092,0.0092284465,0.0076553724,0.008230346,0.1097987946290822
0.006339006905163635,0.009,0.009000452,0.0073604966,0.007941948,0.1097987946290822
0.007038317444364335,0.0119,0.012028119,0.010753308,0.011326356,0.1097987946290822
0.0076382358682025465,0.0111,0.0111620985,0.009891514,0.010466447,0.1097987946290822
0.007100187504326057,0.01,0.009951514,0.008685325,0.009271021,0.1097987946290822
0.008224916333167978,0.0102,0.010181537,0.008910899,0.009493124,0.1097987946290822
0.007338709755544989,0.0103,0.0102816485,0.009014226,0.00959483,0.1097987946290822
0.0053549079610833005,0.008,0.007827606,0.0065929764,0.0071856477,0.1097987946290822
0.003810723355341293,0.0076,0.007450326,0.006176469,0.006773582,0.1097987946290822
0.003724840822257116,0.0076,0.0074496176,0.006174282,0.006772556,0.1097987946290822
0.004356507303249497,0.0078,0.00775261,0.0064208717,0.007019467,0.1097987946290822
0.0039019947081327835,0.0077,0.0076063,0.0062986743,0.006897449,0.1097987946290822
0.014984090902636507,0.0191,0.019374507,0.018463382,0.018945428,0.1097987946290822
0.02050740836681092,0.0233,0.023816073,0.023006996,0.023446541,0.1097987946290822
0.012200623996213673,0.0225,0.0229491,0.022141227,0.022593876,0.1097987946290822
0.013505594371753813,0.0246,0.02517268,0.024415975,0.02485253,0.1097987946290822
0.016296117484219528,0.0236,0.024127891,0.023332607,0.023772841,0.1097987946290822
0.006153897613396685,0.0105,0.010545088,0.00925411,0.009816237,0.1097987946290822
0.005344084054391283,0.0103,0.010270283,0.009022675,0.009586185,0.1097987946290822
0.005220947354559194,0.0104,0.010433359,0.009148109,0.009713537,0.1097987946290822
0.004888929541365738,0.0095,0.009387756,0.008154699,0.008728116,0.1097987946290822
0.005690404677107504,0.0125,0.012697684,0.011425778,0.011982443,0.1097987946290822
0.007110303774641145,0.0107,0.010726711,0.004706751,0.007386109,0.09175535548986238
0.006056083982824361,0.0109,0.010756769,0.005160052,0.0077496166,0.09175535548986238
0.028433832534794177,0.0249,0.025739374,0.020028565,0.0222034,0.09175535548986238
0.004230848672073633,0.0508,0.0527545,0.051876593,0.052191768,0.11990650329627305
0.0056982863994827606,0.0896,0.096213065,0.09501344,0.095086865,0.11990650329627305
